Metodo_Agregacao;Data;Versao_Dataset;Nome_Aeroporto;Proporção_Viagem;Cidade;Estado;Pais
Daily;2020-07-06;10;Kingsford Smith;55;Sydney;New South Wales;Australia
Daily;2020-10-07;10;Kingsford Smith;16;Sydney;New South Wales;Australia
Daily;2020-05-04;10;Kingsford Smith;53;Sydney;New South Wales;Australia
Daily;2020-05-12;10;Kingsford Smith;54;Sydney;New South Wales;Australia
Daily;2020-06-17;10;Kingsford Smith;58;Sydney;New South Wales;Australia
Daily;2020-07-18;10;Kingsford Smith;36;Sydney;New South Wales;Australia
Daily;2020-09-12;10;Kingsford Smith;29;Sydney;New South Wales;Australia
Daily;2020-04-08;10;Kingsford Smith;69;Sydney;New South Wales;Australia
Daily;2020-05-05;10;Kingsford Smith;56;Sydney;New South Wales;Australia
Daily;2020-05-19;10;Kingsford Smith;60;Sydney;New South Wales;Australia
Daily;2020-07-08;10;Kingsford Smith;55;Sydney;New South Wales;Australia
Daily;2020-07-28;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-08-27;10;Kingsford Smith;17;Sydney;New South Wales;Australia
Daily;2020-09-30;10;Kingsford Smith;16;Sydney;New South Wales;Australia
Daily;2020-03-19;10;Kingsford Smith;89;Sydney;New South Wales;Australia
Daily;2020-04-19;10;Kingsford Smith;49;Sydney;New South Wales;Australia
Daily;2020-05-23;10;Kingsford Smith;16;Sydney;New South Wales;Australia
Daily;2020-09-23;10;Kingsford Smith;17;Sydney;New South Wales;Australia
Daily;2020-10-11;10;Kingsford Smith;25;Sydney;New South Wales;Australia
Daily;2020-11-26;10;Kingsford Smith;25;Sydney;New South Wales;Australia
Daily;2020-06-14;10;Kingsford Smith;55;Sydney;New South Wales;Australia
Daily;2020-03-25;10;Kingsford Smith;84;Sydney;New South Wales;Australia
Daily;2020-06-15;10;Kingsford Smith;52;Sydney;New South Wales;Australia
Daily;2020-06-27;10;Kingsford Smith;51;Sydney;New South Wales;Australia
Daily;2020-06-29;10;Kingsford Smith;57;Sydney;New South Wales;Australia
Daily;2020-09-06;10;Kingsford Smith;9;Sydney;New South Wales;Australia
Daily;2020-11-14;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-04-30;10;Kingsford Smith;65;Sydney;New South Wales;Australia
Daily;2020-05-13;10;Kingsford Smith;56;Sydney;New South Wales;Australia
Daily;2020-06-01;10;Kingsford Smith;55;Sydney;New South Wales;Australia
Daily;2020-07-20;10;Kingsford Smith;51;Sydney;New South Wales;Australia
Daily;2020-10-12;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-10-13;10;Kingsford Smith;21;Sydney;New South Wales;Australia
Daily;2020-05-22;10;Kingsford Smith;50;Sydney;New South Wales;Australia
Daily;2020-06-13;10;Kingsford Smith;36;Sydney;New South Wales;Australia
Daily;2020-10-05;10;Kingsford Smith;10;Sydney;New South Wales;Australia
Daily;2020-11-16;10;Kingsford Smith;23;Sydney;New South Wales;Australia
Daily;2020-06-18;10;Kingsford Smith;59;Sydney;New South Wales;Australia
Daily;2020-07-07;10;Kingsford Smith;59;Sydney;New South Wales;Australia
Daily;2020-08-14;10;Kingsford Smith;26;Sydney;New South Wales;Australia
Daily;2020-09-13;10;Kingsford Smith;10;Sydney;New South Wales;Australia
Daily;2020-11-19;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-05-29;10;Kingsford Smith;54;Sydney;New South Wales;Australia
Daily;2020-07-16;10;Kingsford Smith;56;Sydney;New South Wales;Australia
Daily;2020-08-04;10;Kingsford Smith;20;Sydney;New South Wales;Australia
Daily;2020-08-18;10;Kingsford Smith;21;Sydney;New South Wales;Australia
Daily;2020-08-22;10;Kingsford Smith;27;Sydney;New South Wales;Australia
Daily;2020-08-23;10;Kingsford Smith;9;Sydney;New South Wales;Australia
Daily;2020-10-04;10;Kingsford Smith;6;Sydney;New South Wales;Australia
Daily;2020-08-07;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-09-09;10;Kingsford Smith;16;Sydney;New South Wales;Australia
Daily;2020-10-17;10;Kingsford Smith;11;Sydney;New South Wales;Australia
Daily;2020-10-25;10;Kingsford Smith;16;Sydney;New South Wales;Australia
Daily;2020-11-15;10;Kingsford Smith;26;Sydney;New South Wales;Australia
Daily;2020-04-09;10;Kingsford Smith;54;Sydney;New South Wales;Australia
Daily;2020-05-07;10;Kingsford Smith;62;Sydney;New South Wales;Australia
Daily;2020-06-12;10;Kingsford Smith;60;Sydney;New South Wales;Australia
Daily;2020-08-11;10;Kingsford Smith;20;Sydney;New South Wales;Australia
Daily;2020-10-19;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-03-18;10;Kingsford Smith;97;Sydney;New South Wales;Australia
Daily;2020-06-23;10;Kingsford Smith;58;Sydney;New South Wales;Australia
Daily;2020-09-21;10;Kingsford Smith;15;Sydney;New South Wales;Australia
Daily;2020-10-10;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-05-09;10;Kingsford Smith;19;Sydney;New South Wales;Australia
Daily;2020-06-03;10;Kingsford Smith;61;Sydney;New South Wales;Australia
Daily;2020-08-03;10;Kingsford Smith;15;Sydney;New South Wales;Australia
Daily;2020-08-25;10;Kingsford Smith;12;Sydney;New South Wales;Australia
Daily;2020-09-27;10;Kingsford Smith;12;Sydney;New South Wales;Australia
Daily;2020-04-18;10;Kingsford Smith;32;Sydney;New South Wales;Australia
Daily;2020-05-11;10;Kingsford Smith;47;Sydney;New South Wales;Australia
Daily;2020-09-03;10;Kingsford Smith;12;Sydney;New South Wales;Australia
Daily;2020-09-14;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-03-24;10;Kingsford Smith;89;Sydney;New South Wales;Australia
Daily;2020-04-26;10;Kingsford Smith;48;Sydney;New South Wales;Australia
Daily;2020-05-02;10;Kingsford Smith;41;Sydney;New South Wales;Australia
Daily;2020-05-10;10;Kingsford Smith;40;Sydney;New South Wales;Australia
Daily;2020-10-23;10;Kingsford Smith;15;Sydney;New South Wales;Australia
Daily;2020-11-09;10;Kingsford Smith;21;Sydney;New South Wales;Australia
Daily;2020-05-21;10;Kingsford Smith;54;Sydney;New South Wales;Australia
Daily;2020-07-26;10;Kingsford Smith;17;Sydney;New South Wales;Australia
Daily;2020-09-10;10;Kingsford Smith;16;Sydney;New South Wales;Australia
Daily;2020-11-11;10;Kingsford Smith;28;Sydney;New South Wales;Australia
Daily;2020-11-23;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-04-15;10;Kingsford Smith;61;Sydney;New South Wales;Australia
Daily;2020-08-13;10;Kingsford Smith;14;Sydney;New South Wales;Australia
Daily;2020-10-16;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-05-15;10;Kingsford Smith;59;Sydney;New South Wales;Australia
Daily;2020-09-28;10;Kingsford Smith;12;Sydney;New South Wales;Australia
Daily;2020-11-06;10;Kingsford Smith;20;Sydney;New South Wales;Australia
Daily;2020-04-29;10;Kingsford Smith;59;Sydney;New South Wales;Australia
Daily;2020-05-01;10;Kingsford Smith;61;Sydney;New South Wales;Australia
Daily;2020-06-30;10;Kingsford Smith;62;Sydney;New South Wales;Australia
Daily;2020-08-09;10;Kingsford Smith;19;Sydney;New South Wales;Australia
Daily;2020-09-05;10;Kingsford Smith;27;Sydney;New South Wales;Australia
Daily;2020-09-22;10;Kingsford Smith;16;Sydney;New South Wales;Australia
Daily;2020-12-01;10;Kingsford Smith;21;Sydney;New South Wales;Australia
Daily;2020-04-12;10;Kingsford Smith;25;Sydney;New South Wales;Australia
Daily;2020-06-19;10;Kingsford Smith;65;Sydney;New South Wales;Australia
Daily;2020-06-20;10;Kingsford Smith;26;Sydney;New South Wales;Australia
Daily;2020-08-15;10;Kingsford Smith;16;Sydney;New South Wales;Australia
Daily;2020-11-27;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-03-16;10;Kingsford Smith;92;Sydney;New South Wales;Australia
Daily;2020-03-27;10;Kingsford Smith;81;Sydney;New South Wales;Australia
Daily;2020-03-31;10;Kingsford Smith;71;Sydney;New South Wales;Australia
Daily;2020-08-26;10;Kingsford Smith;11;Sydney;New South Wales;Australia
Daily;2020-05-24;10;Kingsford Smith;40;Sydney;New South Wales;Australia
Daily;2020-06-26;10;Kingsford Smith;53;Sydney;New South Wales;Australia
Daily;2020-07-31;10;Kingsford Smith;25;Sydney;New South Wales;Australia
Daily;2020-08-08;10;Kingsford Smith;26;Sydney;New South Wales;Australia
Daily;2020-09-25;10;Kingsford Smith;13;Sydney;New South Wales;Australia
Daily;2020-10-09;10;Kingsford Smith;24;Sydney;New South Wales;Australia
Daily;2020-11-12;10;Kingsford Smith;20;Sydney;New South Wales;Australia
Daily;2020-03-21;10;Kingsford Smith;100;Sydney;New South Wales;Australia
Daily;2020-03-26;10;Kingsford Smith;76;Sydney;New South Wales;Australia
Daily;2020-04-20;10;Kingsford Smith;60;Sydney;New South Wales;Australia
Daily;2020-04-21;10;Kingsford Smith;65;Sydney;New South Wales;Australia
Daily;2020-07-12;10;Kingsford Smith;54;Sydney;New South Wales;Australia
Daily;2020-07-21;10;Kingsford Smith;59;Sydney;New South Wales;Australia
Daily;2020-09-01;10;Kingsford Smith;15;Sydney;New South Wales;Australia
Daily;2020-09-15;10;Kingsford Smith;19;Sydney;New South Wales;Australia
Daily;2020-10-03;10;Kingsford Smith;20;Sydney;New South Wales;Australia
Daily;2020-10-28;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-11-02;10;Kingsford Smith;17;Sydney;New South Wales;Australia
Daily;2020-04-27;10;Kingsford Smith;53;Sydney;New South Wales;Australia
Daily;2020-06-07;10;Kingsford Smith;21;Sydney;New South Wales;Australia
Daily;2020-08-30;10;Kingsford Smith;10;Sydney;New South Wales;Australia
Daily;2020-10-22;10;Kingsford Smith;21;Sydney;New South Wales;Australia
Daily;2020-11-21;10;Kingsford Smith;33;Sydney;New South Wales;Australia
Daily;2020-12-02;10;Kingsford Smith;27;Sydney;New South Wales;Australia
Daily;2020-05-26;10;Kingsford Smith;53;Sydney;New South Wales;Australia
Daily;2020-06-08;10;Kingsford Smith;25;Sydney;New South Wales;Australia
Daily;2020-04-11;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-06-28;10;Kingsford Smith;48;Sydney;New South Wales;Australia
Daily;2020-07-24;10;Kingsford Smith;35;Sydney;New South Wales;Australia
Daily;2020-07-29;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-10-24;10;Kingsford Smith;29;Sydney;New South Wales;Australia
Daily;2020-11-24;10;Kingsford Smith;25;Sydney;New South Wales;Australia
Daily;2020-11-25;10;Kingsford Smith;28;Sydney;New South Wales;Australia
Daily;2020-04-23;10;Kingsford Smith;61;Sydney;New South Wales;Australia
Daily;2020-07-27;10;Kingsford Smith;17;Sydney;New South Wales;Australia
Daily;2020-08-16;10;Kingsford Smith;13;Sydney;New South Wales;Australia
Daily;2020-08-21;10;Kingsford Smith;17;Sydney;New South Wales;Australia
Daily;2020-11-01;10;Kingsford Smith;19;Sydney;New South Wales;Australia
Daily;2020-11-04;10;Kingsford Smith;21;Sydney;New South Wales;Australia
Daily;2020-05-27;10;Kingsford Smith;58;Sydney;New South Wales;Australia
Daily;2020-06-16;10;Kingsford Smith;63;Sydney;New South Wales;Australia
Daily;2020-08-31;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-10-27;10;Kingsford Smith;23;Sydney;New South Wales;Australia
Daily;2020-11-13;10;Kingsford Smith;23;Sydney;New South Wales;Australia
Daily;2020-11-22;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-03-28;10;Kingsford Smith;62;Sydney;New South Wales;Australia
Daily;2020-05-06;10;Kingsford Smith;52;Sydney;New South Wales;Australia
Daily;2020-08-02;10;Kingsford Smith;13;Sydney;New South Wales;Australia
Daily;2020-09-04;10;Kingsford Smith;15;Sydney;New South Wales;Australia
Daily;2020-10-26;10;Kingsford Smith;19;Sydney;New South Wales;Australia
Daily;2020-05-18;10;Kingsford Smith;51;Sydney;New South Wales;Australia
Daily;2020-05-20;10;Kingsford Smith;61;Sydney;New South Wales;Australia
Daily;2020-05-31;10;Kingsford Smith;51;Sydney;New South Wales;Australia
Daily;2020-06-24;10;Kingsford Smith;58;Sydney;New South Wales;Australia
Daily;2020-08-06;10;Kingsford Smith;21;Sydney;New South Wales;Australia
Daily;2020-10-08;10;Kingsford Smith;24;Sydney;New South Wales;Australia
Daily;2020-10-15;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-10-30;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-03-29;10;Kingsford Smith;66;Sydney;New South Wales;Australia
Daily;2020-04-05;10;Kingsford Smith;57;Sydney;New South Wales;Australia
Daily;2020-07-23;10;Kingsford Smith;57;Sydney;New South Wales;Australia
Daily;2020-09-26;10;Kingsford Smith;18;Sydney;New South Wales;Australia
Daily;2020-06-09;10;Kingsford Smith;54;Sydney;New South Wales;Australia
Daily;2020-07-22;10;Kingsford Smith;65;Sydney;New South Wales;Australia
Daily;2020-08-19;10;Kingsford Smith;20;Sydney;New South Wales;Australia
Daily;2020-10-06;10;Kingsford Smith;22;Sydney;New South Wales;Australia
Daily;2020-10-14;10;Kingsford Smith;23;Sydney;New South Wales;Australia
Daily;2020-11-03;10;Kingsford Smith;20;Sydney;New South Wales;Australia
Daily;2020-07-25;10;Kingsford Smith;35;Sydney;New South Wales;Australia
Daily;2020-09-11;10;Kingsford Smith;17;Sydney;New South Wales;Australia
Daily;2020-05-16;10;Kingsford Smith;23;Sydney;New South Wales;Australia
Daily;2020-09-19;10;Kingsford Smith;26;Sydney;New South Wales;Australia
Daily;2020-09-24;10;Kingsford Smith;15;Sydney;New South Wales;Australia
Daily;2020-10-20;10;Kingsford Smith;21;Sydney;New South Wales;Australia
Daily;2020-04-02;10;Kingsford Smith;77;Sydney;New South Wales;Australia
Daily;2020-06-22;10;Kingsford Smith;50;Sydney;New South Wales;Australia
Daily;2020-07-13;10;Kingsford Smith;52;Sydney;New South Wales;Australia
Daily;2020-09-07;10;Kingsford Smith;11;Sydney;New South Wales;Australia
Daily;2020-04-16;10;Kingsford Smith;60;Sydney;New South Wales;Australia
Daily;2020-05-25;10;Kingsford Smith;53;Sydney;New South Wales;Australia
Daily;2020-06-04;10;Kingsford Smith;59;Sydney;New South Wales;Australia
Daily;2020-07-09;10;Kingsford Smith;55;Sydney;New South Wales;Australia
Daily;2020-03-17;10;Santiago International Airport;72;Santiago;Santiago Province;Chile
Daily;2020-04-28;10;Santiago International Airport;21;Santiago;Santiago Province;Chile
Daily;2020-05-12;10;Santiago International Airport;35;Santiago;Santiago Province;Chile
Daily;2020-05-21;10;Santiago International Airport;13;Santiago;Santiago Province;Chile
Daily;2020-10-19;10;Santiago International Airport;55;Santiago;Santiago Province;Chile
Daily;2020-03-25;10;Santiago International Airport;26;Santiago;Santiago Province;Chile
Daily;2020-03-29;10;Santiago International Airport;9;Santiago;Santiago Province;Chile
Daily;2020-06-25;10;Santiago International Airport;29;Santiago;Santiago Province;Chile
Daily;2020-07-02;10;Santiago International Airport;25;Santiago;Santiago Province;Chile
Daily;2020-04-29;10;Santiago International Airport;22;Santiago;Santiago Province;Chile
Daily;2020-05-16;10;Santiago International Airport;22;Santiago;Santiago Province;Chile
Daily;2020-05-25;10;Santiago International Airport;27;Santiago;Santiago Province;Chile
Daily;2020-06-15;10;Santiago International Airport;32;Santiago;Santiago Province;Chile
Daily;2020-10-16;10;Santiago International Airport;61;Santiago;Santiago Province;Chile
Daily;2020-04-05;10;Santiago International Airport;11;Santiago;Santiago Province;Chile
Daily;2020-04-10;10;Santiago International Airport;12;Santiago;Santiago Province;Chile
Daily;2020-07-31;10;Santiago International Airport;35;Santiago;Santiago Province;Chile
Daily;2020-09-22;10;Santiago International Airport;47;Santiago;Santiago Province;Chile
Daily;2020-11-20;10;Santiago International Airport;64;Santiago;Santiago Province;Chile
Daily;2020-11-21;10;Santiago International Airport;31;Santiago;Santiago Province;Chile
Daily;2020-04-01;10;Santiago International Airport;27;Santiago;Santiago Province;Chile
Daily;2020-05-28;10;Santiago International Airport;22;Santiago;Santiago Province;Chile
Daily;2020-06-17;10;Santiago International Airport;30;Santiago;Santiago Province;Chile
Daily;2020-07-14;10;Santiago International Airport;36;Santiago;Santiago Province;Chile
Daily;2020-07-21;10;Santiago International Airport;36;Santiago;Santiago Province;Chile
Daily;2020-09-03;10;Santiago International Airport;33;Santiago;Santiago Province;Chile
Daily;2020-09-28;10;Santiago International Airport;39;Santiago;Santiago Province;Chile
Daily;2020-04-02;10;Santiago International Airport;21;Santiago;Santiago Province;Chile
Daily;2020-04-07;10;Santiago International Airport;25;Santiago;Santiago Province;Chile
Daily;2020-05-23;10;Santiago International Airport;15;Santiago;Santiago Province;Chile
Daily;2020-04-13;10;Santiago International Airport;26;Santiago;Santiago Province;Chile
Daily;2020-06-22;10;Santiago International Airport;37;Santiago;Santiago Province;Chile
Daily;2020-03-26;10;Santiago International Airport;24;Santiago;Santiago Province;Chile
Daily;2020-06-30;10;Santiago International Airport;27;Santiago;Santiago Province;Chile
Daily;2020-11-12;10;Santiago International Airport;60;Santiago;Santiago Province;Chile
Daily;2020-11-28;10;Santiago International Airport;39;Santiago;Santiago Province;Chile
Daily;2020-05-19;10;Santiago International Airport;29;Santiago;Santiago Province;Chile
Daily;2020-06-08;10;Santiago International Airport;28;Santiago;Santiago Province;Chile
Daily;2020-06-10;10;Santiago International Airport;24;Santiago;Santiago Province;Chile
Daily;2020-07-30;10;Santiago International Airport;27;Santiago;Santiago Province;Chile
Daily;2020-10-08;10;Santiago International Airport;50;Santiago;Santiago Province;Chile
Daily;2020-06-29;10;Santiago International Airport;19;Santiago;Santiago Province;Chile
Daily;2020-09-20;10;Santiago International Airport;23;Santiago;Santiago Province;Chile
Daily;2020-09-29;10;Santiago International Airport;46;Santiago;Santiago Province;Chile
Daily;2020-11-25;10;Santiago International Airport;47;Santiago;Santiago Province;Chile
Daily;2020-03-16;10;Santiago International Airport;96;Santiago;Santiago Province;Chile
Daily;2020-05-29;10;Santiago International Airport;28;Santiago;Santiago Province;Chile
Daily;2020-05-30;10;Santiago International Airport;13;Santiago;Santiago Province;Chile
Daily;2020-08-08;10;Santiago International Airport;19;Santiago;Santiago Province;Chile
Daily;2020-09-16;10;Santiago International Airport;53;Santiago;Santiago Province;Chile
Daily;2020-05-18;10;Santiago International Airport;27;Santiago;Santiago Province;Chile
Daily;2020-05-22;10;Santiago International Airport;18;Santiago;Santiago Province;Chile
Daily;2020-07-15;10;Santiago International Airport;39;Santiago;Santiago Province;Chile
Daily;2020-08-31;10;Santiago International Airport;45;Santiago;Santiago Province;Chile
Daily;2020-11-19;10;Santiago International Airport;60;Santiago;Santiago Province;Chile
Daily;2020-05-05;10;Santiago International Airport;13;Santiago;Santiago Province;Chile
Daily;2020-06-02;10;Santiago International Airport;34;Santiago;Santiago Province;Chile
Daily;2020-06-12;10;Santiago International Airport;31;Santiago;Santiago Province;Chile
Daily;2020-08-15;10;Santiago International Airport;18;Santiago;Santiago Province;Chile
Daily;2020-09-11;10;Santiago International Airport;49;Santiago;Santiago Province;Chile
Daily;2020-10-13;10;Santiago International Airport;56;Santiago;Santiago Province;Chile
Daily;2020-10-29;10;Santiago International Airport;53;Santiago;Santiago Province;Chile
Daily;2020-10-31;10;Santiago International Airport;33;Santiago;Santiago Province;Chile
